wof:id,sg:id
169568069,SG_5nIMkPqzk6xRC3oluLANWt_41.098381_28.998474@1306270052
169559095,SG_02NGIhmqM2zbdNMtgcCnjy_41.081184_28.968147@1306270051
169543119,SG_0hNajSEimntGUP5wGoG7nt_39.898602_32.865002@1306270051
169527203,SG_0Xwm95OyGRFrA43foCQ9su_41.012379_28.975925@1306270050
169548123,SG_1ChXWqNRcFydAZStuY7w9P_41.012379_28.975925@1306270051
169529033,SG_3dfiVogWd1A7VhZNaetg68_41.012379_28.975925@1306270050
169569031,SG_20Ya43C9a1QDYmY7ZQqRtV_41.057594_28.968874@1306270052
169559117,SG_3F0Q7NveaxWMYlEZ6hLtr4_39.943874_32.856033@1306270051
169568093,SG_0N9img5ckcVPFEmprRhP4Z_40.968739_29.132677@1306270052
169548135,SG_5SHP9Xzbt1NKtxwVdo9Mgf_40.209736_29.030693@1306270051
169530151,SG_21YmtJHjYRxZcfa03mJYUT_14.487687_121.022514@1306270050
169543141,SG_3vstmZm8J698aNiqiOBAOc_39.953411_32.843983@1306270051
169527211,SG_2kKuejkzwlX1NgHdkNecTn_41.012379_28.975925@1306270050
169569071,SG_5PahUz2elW3aaD1YImnV5D_41.057594_28.968874@1306270052
169559135,SG_2Dt4D8DTAAYpqHcyZsKrDv_41.074059_28.998301@1306270051
169568105,SG_5LxIxhk20q2QGH1GfT1xFR_41.012379_28.975925@1306270052
169548139,SG_5YEnKfBvWrZkiVtagHRerv_40.194756_29.058004@1306270051
169529041,SG_3Muq6bitNt4mr2I4ErolFk_41.012379_28.975925@1306270050
169543171,SG_3fn4aZ9RIACFQVJRNLV5iF_36.824162_34.673267@1306270051
169528119,SG_1UTjTG8ubjUXIT9qhF8003_41.012379_28.975925@1306270050
169569083,SG_1HJYBSFLeBUNB3jEkO0rVd_40.980064_29.079020@1306270052
169530159,SG_6s0bZmzEBVvtEz9eqSiDZ7_14.487687_121.022514@1306270050
169559207,SG_1Nst3tVTwNHJwG61MaySMm_41.081184_28.968147@1306270051
169568107,SG_2mhshLD95mFUIOHeK0HlUd_39.879372_32.877460@1306270052
169548153,SG_6FJ1IqNtZnAgeZbkAO1z6j_38.385006_27.136572@1306270051
169543185,SG_1o6CqLkTHKifdeaIZGBIEM_36.986195_35.331436@1306270051
169530167,SG_1xFlZuA2hKkdFbO66qqG1c_14.487687_121.022514@1306270050
169571017,SG_6s3bVYvP9k2uiTpGrKTUJB_41.012379_28.975925@1306270052
169569109,SG_7NPKXN3a64eN2cmLi3sSfF_38.425938_27.167759@1306270052
169529051,SG_3ZO9u86GLMCCoOWxHBiiba_36.888790_30.704971@1306270050
169559291,SG_5HFtRM6N9jQqYv1Luzjbuz_38.391312_27.038960@1306270051
169568113,SG_25PpDqYaY5QYc15oACGQsl_41.012379_28.975925@1306270052
169548161,SG_2Y8yB6wkNMnILpzWe3F0ao_41.012379_28.975925@1306270051
169543193,SG_6hCNezFgm2NEwyTL1dwZAs_39.933861_32.858528@1306270051
169528127,SG_6QupEHenzQCjHglWGCkAxp_41.053272_28.990408@1306270050
169571053,SG_0e3DKzB0qQxM41PYon4Th9_40.875919_29.422407@1306270052
169569113,SG_2R8j9DOIDyId9yOweB8Fpr_41.076466_28.981241@1306270052
169530177,SG_2c0jRcX8XUiIqmmInWrarW_14.487687_121.022514@1306270050
169559363,SG_7CpuKahc2LoaRMJ7bLBIJw_39.908260_32.881596@1306270051
169568115,SG_5N7o1OfCsSUWOOxZODcbfI_41.012379_28.975925@1306270052
169548175,SG_0lzgBCQgSLjpHCapC0NDvv_40.906025_29.194141@1306270051
169543203,SG_6zcgHwl44cvaW9yssEkoRZ_39.952515_32.873135@1306270051
169571067,SG_3O2v0o1EXlFLAg2A8XrNyW_41.012379_28.975925@1306270052
169527219,SG_3RQpSrNAqLxCjXGkSTMXZg_41.012379_28.975925@1306270050
169572009,SG_43nNVPldKSyWvABDbTxnyn_41.012379_28.975925@1306270052
169559453,SG_2Od4XyFiNhFNeWriiG4AWo_41.081184_28.968147@1306270051
169548181,SG_66ru7jhYJNR8Hvyo6KtzQv_41.058693_28.987904@1306270051
169543211,SG_4qcIWBejv0E8mCDuz7IALc_39.940964_32.858669@1306270051
169530189,SG_7kKBc9lMEhTLkIC4DYef9g_38.426872_27.136770@1306270050
169571081,SG_4sSazejRkcrkYB80PtHhQd_38.721169_35.474342@1306270052
169559477,SG_6YUeVu5OwZrfgfBWHLHw3J_41.088383_29.006161@1306270051
169528135,SG_1Zx2cqtxtfI7GN4prBeaCF_41.012379_28.975925@1306270050
169548197,SG_6zo8p93w2LfbhqvOe6DFIy_39.652100_27.883301@1306270051
169528111,SG_6qQyccFTPGQJV30mjHj5IN_41.090137_29.003307@1306270050
169571095,SG_5BVPVHdjRKSLTdwXli2iHv_41.007889_29.147785@1306270052
169530195,SG_4mrg5i0akDATeZ3EMv0VJV_36.986961_35.328148@1306270050
