bbox,cessation,country_id,deprecated,file_hash,fullname,geom_hash,geom_latitude,geom_longitude,id,inception,iso,iso_country,lastmodified,lbl_latitude,lbl_longitude,locality_id,name,parent_id,path,placetype,region_id,source,superseded_by,supersedes,wof_country
"28.975925,41.012379,28.975925,41.012379",uuuu,-1,,46c6ef3caf1eb989757dbef26819c94f,,934b9d98240618589dcadb3e67221e7c,41.012379,28.975925,169568963,uuuu,TR,TR,1466313307,0,0,-1,Merkez Guvenlik Sistemleri A.s.,85906483,169/568/963/169568963.geojson,venue,85679237,simplegeo,,,TR
"30.718206,36.888721,30.718206,36.888721",uuuu,85632393,,4a6f75e26682faa8e16e802e7557edbc,,b658a7c5fc4af6c0c2a0b1c4854c26d8,36.888721,30.718206,169568669,uuuu,TR,TR,1466313293,0,0,101912923,Kiratli Celik Kasa San.ve Tic. Ltd. Sti.,85929965,169/568/669/169568669.geojson,venue,85679263,simplegeo,,,TR
"28.988331,41.055908,28.988331,41.055908",uuuu,85632393,,c982b85e554b7c8c603d4b8ee52c1ede,,a5d4b3fa597fbd7365ced25a6a454d07,41.055908,28.988331,169568773,uuuu,TR,TR,1466313299,0,0,101912685,Mak Sanayi ?r?nleri San. Ve Tic. Ltd. Sti.,85929491,169/568/773/169568773.geojson,venue,85679237,simplegeo,,,TR
"29.058004,40.194756,29.058004,40.194756",uuuu,85632393,,e6d3ed98b1326c04b4bc8adc8bce5b39,,2fb162fc23efecc2a9d4fc26d71c2a01,40.194756,29.058004,169568833,uuuu,TR,TR,1466313302,0,0,-1,Marpa Guvenlik Sistemleri San Ve Tic. Ltd.sti.,85929923,169/568/833/169568833.geojson,venue,85679231,simplegeo,,,TR
"29.127367,40.922428,29.127367,40.922428",uuuu,85632393,,06e9ad7b9b937eb03f45f488be5cd695,,81e29960396a8896f407ea2844d32e26,40.922428,29.127367,169568719,uuuu,TR,TR,1466313296,0,0,-1,Kotter Guvenlik A.s.,85930179,169/568/719/169568719.geojson,venue,-1,simplegeo,,,TR
"32.765419,40.035751,32.765419,40.035751",uuuu,85632393,,1d4fb700cb64bef45a4b00bacc3a2617,,d49b6ca998b39b6c1b78264c4d74af2f,40.035751,32.765419,169568077,uuuu,TR,TR,1466313266,0,0,-1,Ferpa Plastik Kart Sistemleri,-1,169/568/077/169568077.geojson,venue,85679409,simplegeo,,,TR
"28.975925,41.012379,28.975925,41.012379",uuuu,-1,,f93289bcc345015399b5009bcc448d89,,934b9d98240618589dcadb3e67221e7c,41.012379,28.975925,169568423,uuuu,TR,TR,1466313282,0,0,-1,Inter Group,85906483,169/568/423/169568423.geojson,venue,85679237,simplegeo,,,TR
"32.856033,39.943874,32.856033,39.943874",uuuu,85632393,,ce0fb351e0581e5a4033dddd3fe89a43,,68c3280b4a772c2c653ccc4d077be668,39.943874,32.856033,169568849,uuuu,TR,TR,1466313302,0,0,-1,Martin Guvenlik Sistemleri,85929573,169/568/849/169568849.geojson,venue,85679409,simplegeo,,,TR
"35.313736,37.000717,35.313736,37.000717",uuuu,85632393,,bd6b020225d46427a504329473b4984d,,ae5c3198fb5575113b12136fbeb21bfa,37.000717,35.313736,169568293,uuuu,TR,TR,1466313277,0,0,-1,G?neyli G?venlik Sistemleri A.s.,85929841,169/568/293/169568293.geojson,venue,85679443,simplegeo,,,TR
"29.054897,41.210091,29.054897,41.210091",uuuu,85632393,,52930de00d1668d192324b3cd7a860dd,,d0509619f48a05b00078c12e7d9a293c,41.210091,29.054897,169568651,uuuu,TR,TR,1466313292,0,0,-1,Kaya Yapi San.tic. Ltd. Sti.,-1,169/568/651/169568651.geojson,venue,85679237,simplegeo,,,TR
"28.975925,41.012379,28.975925,41.012379",uuuu,-1,,929280f549fb69d4c21e52ff762e7f0a,,934b9d98240618589dcadb3e67221e7c,41.012379,28.975925,169568473,uuuu,TR,TR,1466313285,0,0,-1,Ips ?evre Tekno San. Tic. A.s.,85906483,169/568/473/169568473.geojson,venue,85679237,simplegeo,,,TR
"28.975925,41.012379,28.975925,41.012379",uuuu,-1,,e4c3a0a3c7e4fdce100ceb0518ec8f4c,,934b9d98240618589dcadb3e67221e7c,41.012379,28.975925,169568737,uuuu,TR,TR,1466313297,0,0,-1,Kvs Guvenlik Sistemleri San.tic. Ltd.sti.,85906483,169/568/737/169568737.geojson,venue,85679237,simplegeo,,,TR
"38.314301,38.3475,38.314301,38.3475",uuuu,85632393,,a5981f33a2b7d965856be5da8c2a4088,,88e1ff1a056db2532e77e8181662084d,38.3475,38.314301,169568537,uuuu,TR,TR,1466313287,0,0,-1,Intervizyon Ajans G?v. Sist. Ltd.sti.,-1,169/568/537/169568537.geojson,venue,85679309,simplegeo,,,TR
"30.507975,39.754551,30.507975,39.754551",uuuu,85632393,,40464a1d85850cc30c0cc8bc2a444cdc,,3afede425af7fc3de55382157c3d3213,39.754551,30.507975,169568807,uuuu,TR,TR,1466313301,0,0,101912871,Kut Electronic,-1,169/568/807/169568807.geojson,venue,85679255,simplegeo,,,TR
"28.91283,41.060204,28.91283,41.060204",uuuu,85632393,,95b490d206edd7be2e8e70cd62497d16,,a05238d26304bb7a2d9b42c2ba2de9aa,41.060204,28.91283,169568439,uuuu,TR,TR,1466313283,0,0,-1,Han Elektronik,-1,169/568/439/169568439.geojson,venue,85679237,simplegeo,,,TR
"32.856033,39.943874,32.856033,39.943874",uuuu,85632393,,5d088c1d1c78be27632773bb1b53a0fa,,68c3280b4a772c2c653ccc4d077be668,39.943874,32.856033,169568749,uuuu,TR,TR,1466313297,0,0,-1,Labirent Bina Otomasyon Ve Elektronik Sistem.tic.ltd.sti.,85929573,169/568/749/169568749.geojson,venue,85679409,simplegeo,,,TR
"28.975925,41.012379,28.975925,41.012379",uuuu,-1,,a02cd1d9a8993ff6ab914443d61e1daa,,934b9d98240618589dcadb3e67221e7c,41.012379,28.975925,169568225,uuuu,TR,TR,1466313274,0,0,-1,Grup 1 G?ven. Hizm. Sistemleri,85906483,169/568/225/169568225.geojson,venue,85679237,simplegeo,,,TR
"32.859684,39.940266,32.859684,39.940266",uuuu,85632393,,db06192dab9b72cc10179ee3ebd02cf2,,26a845ae2723c949bfbddc12379acd94,39.940266,32.859684,169568493,uuuu,TR,TR,1466313287,0,0,-1,Ist Is?i Sagligi Ltd.sti.,85929573,169/568/493/169568493.geojson,venue,85679409,simplegeo,,,TR
"30.703135,36.887505,30.703135,36.887505",uuuu,85632393,,8c1827f83d88b7e1698c3016a179a41f,,42194d9943fb0d1486651cff60d89ded,36.887505,30.703135,169568769,uuuu,TR,TR,1466313298,0,0,101912923,Lider G?venlik Alarm & Cctv Kamera Sistemleri,85930033,169/568/769/169568769.geojson,venue,85679263,simplegeo,,,TR
"28.975925,41.012379,28.975925,41.012379",uuuu,-1,,791fec9177d19a7d2ad86b619b207c7c,,934b9d98240618589dcadb3e67221e7c,41.012379,28.975925,169568425,uuuu,TR,TR,1466313283,0,0,-1,Inter Guvenlik Sistemleri San. Tic. Ltd.,85906483,169/568/425/169568425.geojson,venue,85679237,simplegeo,,,TR
"29.143026,41.021088,29.143026,41.021088",uuuu,85632393,,5654fd8992031d2fe71be083ba5b5b6d,,c9e4e558ccd5264b9228f0c0f9013c3c,41.021088,29.143026,169568827,uuuu,TR,TR,1466313301,0,0,-1,Marpa Guvenlik Sistemleri San. Ve Tic. Ltd.sti.,85929833,169/568/827/169568827.geojson,venue,85679237,simplegeo,,,TR
"29.035345,41.084213,29.035345,41.084213",uuuu,85632393,,bf3db63f53ab467e9c2f3b67059dddfe,,858001bcd2e0fb337e0e890bd3087765,41.084213,29.035345,169568041,uuuu,TR,TR,1466313263,0,0,101912663,Fokus Muhendislik Taahhut A.s,85930151,169/568/041/169568041.geojson,venue,85679237,simplegeo,,,TR
"28.992159,41.072021,28.992159,41.072021",uuuu,85632393,,fe02a40631751943e061b3e640eb0985,,be2c1b4ccfe01be7631d05abc21a28db,41.072021,28.992159,169568695,uuuu,TR,TR,1466313295,0,0,101912685,Konsis Kontrol Ve Otomasyon Sistemleri Ltd.sti.,85930041,169/568/695/169568695.geojson,venue,85679237,simplegeo,,,TR
"28.975925,41.012379,28.975925,41.012379",uuuu,-1,,a2f447362f508ab747d8ddab1b6fc59c,,934b9d98240618589dcadb3e67221e7c,41.012379,28.975925,169568105,uuuu,TR,TR,1466313267,0,0,-1,G.i.s. Guvenlik A.s.,85906483,169/568/105/169568105.geojson,venue,85679237,simplegeo,,,TR
"28.975925,41.012379,28.975925,41.012379",uuuu,-1,,cc47153bd1c5c8c2175f36a9669c637b,,934b9d98240618589dcadb3e67221e7c,41.012379,28.975925,169568673,uuuu,TR,TR,1466313293,0,0,-1,Kiratli Celik Kasa San.ve Tic. Ltd. Sti.,85906483,169/568/673/169568673.geojson,venue,85679237,simplegeo,,,TR
"32.856033,39.943874,32.856033,39.943874",uuuu,85632393,,b05f2bac869fc68ff73aaaea3aec2872,,68c3280b4a772c2c653ccc4d077be668,39.943874,32.856033,169568295,uuuu,TR,TR,1466313278,0,0,-1,G?venli Yasam Is G?venligi San. Tic. Ltd. Sti.,85929573,169/568/295/169568295.geojson,venue,85679409,simplegeo,,,TR
"28.975925,41.012379,28.975925,41.012379",uuuu,-1,,4bd317591e726ed941a74ee106051885,,934b9d98240618589dcadb3e67221e7c,41.012379,28.975925,169568383,uuuu,TR,TR,1466313281,0,0,-1,Ikon Gaz & Deprem Alarm Sistemleri,85906483,169/568/383/169568383.geojson,venue,85679237,simplegeo,,,TR
"28.975925,41.012379,28.975925,41.012379",uuuu,-1,,45872d373ab80c0f182d419e5bfb5de5,,934b9d98240618589dcadb3e67221e7c,41.012379,28.975925,169568867,uuuu,TR,TR,1466313304,0,0,-1,Mavili Elektronik Ticaret San.a.s,85906483,169/568/867/169568867.geojson,venue,85679237,simplegeo,,,TR
"28.365801,37.219601,28.365801,37.219601",uuuu,85632393,,ab19382bd5f760cd8c0b2ac4a52ee872,,50d33d777b7f78a0fd0b7c6c1092932a,37.219601,28.365801,169568993,uuuu,TR,TR,1466313309,0,0,101911277,Mbc Iletisim Ve G?venlik Sistemleri Ltd.sti.,-1,169/568/993/169568993.geojson,venue,85679291,simplegeo,,,TR
"29.058004,40.194756,29.058004,40.194756",uuuu,85632393,,c3700d3634f2eb1c8b06935d51417dc9,,2fb162fc23efecc2a9d4fc26d71c2a01,40.194756,29.058004,169568279,uuuu,TR,TR,1466313276,0,0,-1,Gurteknik Ltd.sti.,85929923,169/568/279/169568279.geojson,venue,85679231,simplegeo,,,TR
"29.184084,41.014622,29.184084,41.014622",uuuu,85632393,,4ea1ea2a26d1a1ecd26e16bfe85e95f9,,ae0441bf82892228dc52da991ccf88c8,41.014622,29.184084,169568337,uuuu,TR,TR,1466313279,0,0,-1,Grup Atilim Teknoloji Sist. Ith.ihr.tic.ltd.sti,-1,169/568/337/169568337.geojson,venue,85679237,simplegeo,,,TR
"29.054897,41.210091,29.054897,41.210091",uuuu,85632393,,3139dfa56de1369d01b4b3b03a50bbc4,,d0509619f48a05b00078c12e7d9a293c,41.210091,29.054897,169568605,uuuu,TR,TR,1466313290,0,0,-1,Kamer G?venlik,-1,169/568/605/169568605.geojson,venue,85679237,simplegeo,,,TR
